#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1692	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV1713	species	Proboscidactyla flavicirrata	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Proboscidactylidae	Proboscidactyla	Proboscidactyla flavicirrata	best hit
ASV1714	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV1722	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV1737	species	Panopea generosa	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Panopea	Panopea generosa	best hit
ASV1744	species	Dermasterias imbricata	Eukaryota	Echinodermata	Asteroidea	Valvatida	Poraniidae	Dermasterias	Dermasterias imbricata	best hit
ASV1749	species	Calanus pacificus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus	best hit
ASV1753	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV176	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV1763	species	Panopea generosa	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Panopea	Panopea generosa	best hit
ASV1766	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV1769	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV1771	species	Eutonina indicans	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eutonina	Eutonina indicans	best hit
ASV1776	species	Odonthalia floccosa f. comosa	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Odonthalia	Odonthalia floccosa f. comosa	best hit
ASV1777	species	Mesocentrotus franciscanus	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Mesocentrotus	Mesocentrotus franciscanus	best hit
ASV1779	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1788	species	Haliclona xena	Eukaryota	Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona xena	best hit
ASV1793	species	Sarsia tubulosa	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Sarsia	Sarsia tubulosa	best hit
ASV1798	species	Metridium senile	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Metridiidae	Metridium	Metridium senile	best hit
ASV1802	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV1812	species	Aequorea sp. USWAENR	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea sp. USWAENR	best hit
ASV1816	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1828	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1832	species	Sarsia tubulosa	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Sarsia	Sarsia tubulosa	best hit
ASV1839	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1841	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV1846	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1849	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV185	species	Muggiaea atlantica	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Muggiaea	Muggiaea atlantica	best hit
ASV1869	species	Calanus sp. NJGS-42	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus sp. NJGS-42	best hit
ASV1871	species	Dermasterias imbricata	Eukaryota	Echinodermata	Asteroidea	Valvatida	Poraniidae	Dermasterias	Dermasterias imbricata	best hit
ASV1875	species	Myxicola aesthetica	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Myxicola	Myxicola aesthetica	best hit
ASV1876	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1893	species	Polysiphonia hendryi	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia hendryi	best hit
ASV1904	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV1914	species	Tortanus discaudatus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	Tortanus discaudatus	best hit
ASV1930	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
